term	dominance
bring out	0.000
tough choice	0.000
pinot grigio	0.000
school uniform	0.000
bar mitzvah	0.000
now that	0.000
hit it	0.000
depending on	0.000
curve ball	0.000
bring forth	0.000
pinky finger	0.000
reflect on	0.000
makings of	0.000
want in	0.000
front door	0.000
quantum leap	0.000
you welcome	0.000
start time	0.000
lots more	0.000
crush on	0.000
break free	0.000
in touch	0.000
hand sanitizer	0.000
politically incorrect	0.000
stick shift	0.000
the take	0.000
any more	0.000
rule book	0.000
oil change	0.000
fireside chat	0.000
flat rate	0.000
blood money	0.000
take sides	0.000
read off	0.000
identity theft	0.000
television show	0.000
jet black	0.000
like it	0.000
good egg	0.000
food court	0.000
heading back	0.000
quick question	0.000
let on	0.000
cowboy hat	0.000
home school	0.000
bottle opener	0.000
mix in	0.000
scuba diving	0.000
espresso machine	0.000
forbidden fruit	0.000
in lieu	0.000
pop on	0.000
water ice	0.000
big stick	0.000
pitch in	0.000
blue jay	0.000
hit at	0.000
no doubt	0.000
split screen	0.000
ice breaker	0.000
pop up	0.000
call by	0.000
mint tea	0.000
barbed wire	0.000
health hazard	0.000
air flow	0.000
season ticket	0.000
chicken breast	0.000
light rail	0.000
all along	0.000
neon sign	0.000
rose garden	0.000
roll back	0.000
part way	0.000
long weekend	0.000
chicken strips	0.000
straight down	0.000
murder charge	0.000
low risk	0.000
every thing	0.000
bumper cars	0.000
part ways	0.000
move in	0.000
go on	0.000
grapple with	0.000
skin care	0.000
policy change	0.000
i'd say	0.000
quarter to	0.000
in reserve	0.000
royal blue	0.000
near by	0.000
banana bread	0.000
say when	0.000
zone in	0.000
check mark	0.000
account for	0.000
ball pit	0.000
solitary confinement	0.000
call on	0.000
passing game	0.000
patio furniture	0.000
uphill battle	0.000
tool box	0.000
white man	0.000
easter bunny	0.000
medicine ball	0.000
tough love	0.000
paradigm shift	0.000
melted cheese	0.000
oxford comma	0.000
cough syrup	0.000
attention seeker	0.000
a roll	0.000
more equal	0.000
take care	0.000
juiced up	0.000
cease fire	0.000
war crime	0.000
prescription drug	0.000
would say	0.000
deep fryer	0.000
narcissistic personality	0.000
hell week	0.000
photo shop	0.000
instant noodles	0.000
make of	0.000
get onto	0.000
made up	0.000
choose to	0.000
go upstairs	0.000
name names	0.000
coloring book	0.000
safe return	0.000
jump in	0.000
table talk	0.000
food group	0.000
day trader	0.000
reminiscent of	0.000
free press	0.000
free agency	0.000
leisure time	0.000
green grass	0.000
inside job	0.000
bang up	0.000
have hope	0.000
go beyond	0.000
the above	0.000
border crossing	0.000
as follows	0.000
fish tank	0.000
get well	0.000
index fund	0.000
pump up	0.000
graveyard shift	0.000
genghis khan	0.000
meth lab	0.000
run on	0.000
plus size	0.000
cut it	0.000
early bird	0.000
hard right	0.000
light green	0.000
it's snowing	0.000
bachelorette party	0.000
each other	0.000
chamomile tea	0.000
pull that	0.000
pizza crust	0.000
beach house	0.000
get caught	0.000
long hair	0.000
brown rice	0.000
move around	0.000
law school	0.000
air traffic	0.000
yoga pants	0.000
spoiler alert	0.000
depth perception	0.000
scoop up	0.000
color in	0.000
block in	0.000
the goat	0.000
body temperature	0.000
young girl	0.000
move into	0.000
tag with	0.000
pop music	0.000
design work	0.000
make much	0.000
too much	0.000
long time	0.000
count on	0.000
toe nail	0.000
first lady	0.000
give away	0.000
keep on	0.000
heat up	0.000
energy crisis	0.000
write out	0.000
night game	0.000
wild about	0.000
spin around	0.000
meal plan	0.000
in tune	0.000
pop in	0.000
grape jelly	0.000
light brown	0.000
top floor	0.000
jump start	0.000
air raid	0.000
see into	0.000
open to	0.000
body clock	0.000
open question	0.000
depend on	0.000
vacation spot	0.000
white bread	0.000
pump in	0.000
public health	0.000
get revenge	0.000
on fire	0.000
fine wine	0.000
fanny pack	0.000
frat house	0.000
at all	0.000
penalty shootout	0.000
short run	0.000
be quiet	0.000
maple leaf	0.000
lunatic fringe	0.000
ivy league	0.000
whole name	0.000
swipe right	0.000
hazard pay	0.000
whole foods	0.000
strawberry jam	0.000
minority group	0.000
white rice	0.000
brazilian wax	0.000
mobile phone	0.000
refer to	0.000
deserve credit	0.000
pacific rim	0.000
joking aside	0.000
milk crate	0.000
short supply	0.000
for reals	0.000
jock strap	0.000
send on	0.000
olive green	0.000
cold hearted	0.000
secondary school	0.000
only son	0.000
news story	0.000
pole vault	0.000
barn burner	0.000
will do	0.000
model on	0.000
just because	0.000
that's all	0.000
so far	0.000
free lunch	0.000
pent up	0.000
air show	0.000
look like	0.000
get across	0.000
roller derby	0.000
look away	0.000
on track	0.000
cold open	0.000
cereal box	0.000
judas priest	0.000
school age	0.000
end zone	0.000
slot machine	0.000
kick start	0.000
as though	0.000
separation anxiety	0.000
two piece	0.000
candy canes	0.000
wave on	0.000
social club	0.000
pizza topping	0.000
have time	0.000
fit in	0.000
chump change	0.000
belong with	0.000
be up	0.000
capital city	0.000
this evening	0.000
get work	0.000
gas mask	0.000
move down	0.000
income tax	0.000
phone book	0.000
top out	0.000
go it	0.000
well put	0.000
in time	0.000
sought after	0.000
public servant	0.000
mama bear	0.000
blood test	0.000
bank holiday	0.000
see you	0.000
in heat	0.000
anywhere else	0.000
foul language	0.000
sign on	0.000
text message	0.000
candy crush	0.000
point after	0.000
hands on	0.000
at bay	0.000
set to	0.000
barbecue sauce	0.000
balance beam	0.000
faced with	0.000
full tilt	0.000
salad bar	0.000
caste system	0.000
fat cats	0.000
top down	0.000
live over	0.000
tap dancing	0.000
fair shake	0.000
public enemy	0.000
trailer park	0.000
fitted sheet	0.000
comment on	0.000
based on	0.000
deep space	0.000
kitty litter	0.000
so called	0.000
have against	0.000
screw up	0.000
settle in	0.000
zip code	0.000
first state	0.000
proud owner	0.000
every last	0.000
tall glass	0.000
young children	0.000
had better	0.000
record player	0.000
little hand	0.000
refried beans	0.000
bear witness	0.000
venn diagram	0.000
kiddie pool	0.000
no question	0.000
suit to	0.000
straight man	0.000
oval office	0.000
butter knife	0.000
live together	0.000
make time	0.000
blue state	0.000
facebook page	0.000
fly ball	0.000
no qualms	0.000
key to	0.000
dress rehearsal	0.000
natural resources	0.000
drum set	0.000
french fries	0.000
some surprise	0.000
horror show	0.000
round up	0.000
ask for	0.000
blood vessel	0.000
stand corrected	0.000
in sight	0.000
god forbid	0.000
night club	0.000
relief pitcher	0.000
true blue	0.000
dial up	0.000
charge for	0.000
code red	0.000
phone number	0.000
belt buckle	0.000
ever again	0.000
fossil fuel	0.000
day shift	0.000
as much	0.000
girl scout	0.000
relating to	0.000
shopping spree	0.000
think tank	0.000
do up	0.000
substitute teacher	0.000
point to	0.000
trade at	0.000
know someone	0.000
school yard	0.000
call option	0.000
air duct	0.000
break time	0.000
flip side	-0.014
salvation army	-0.016
great grandma	-0.018
get about	-0.018
main character	-0.020
under way	-0.020
supply chain	-0.020
video game	-0.021
eye patch	-0.022
tuned in	-0.022
phone in	-0.022
bread crumbs	-0.022
long ball	-0.022
start date	-0.022
double entendre	-0.024
fire alarm	-0.024
rule out	-0.024
tennis court	-0.024
come upon	-0.026
white dress	-0.026
slow progress	-0.026
fried eggs	-0.026
puff piece	-0.026
elementary school	-0.026
top up	-0.026
feel up	-0.026
service dog	-0.026
oral history	-0.026
and whatnot	-0.026
getting along	-0.026
pop culture	-0.028
on tap	-0.028
skin tone	-0.028
left standing	-0.028
play dirty	-0.030
have tea	-0.030
each year	-0.030
state line	-0.032
power nap	-0.032
dark matter	-0.032
mix to	-0.032
porn star	-0.032
school bus	-0.032
rein in	-0.032
in place	-0.032
moving away	-0.032
stir up	-0.032
publicity stunt	-0.032
black ops	-0.032
throw you	-0.032
throw in	-0.032
war on	-0.032
something like	-0.032
trojan horse	-0.032
full name	-0.032
just now	-0.032
ear plugs	-0.032
apartment complex	-0.032
basket case	-0.032
ease into	-0.032
snow plow	-0.032
go crazy	-0.032
front porch	-0.032
owing to	-0.032
bike rack	-0.032
gap year	-0.032
character assassination	-0.032
consent form	-0.032
black leather	-0.032
followed by	-0.032
baby pictures	-0.032
prime rib	-0.032
big whoop	-0.032
saddled with	-0.032
risk averse	-0.032
to sea	-0.032
without fail	-0.032
groundhog day	-0.032
make room	-0.032
pasta sauce	-0.032
a getaway	-0.032
hand around	-0.032
white space	-0.032
whip up	-0.032
run around	-0.032
from scratch	-0.032
give birth	-0.032
send off	-0.032
a one	-0.032
paper money	-0.032
first aid	-0.032
atta girl	-0.032
road rage	-0.032
put in	-0.032
plot twist	-0.032
check for	-0.032
cape cod	-0.032
windy city	-0.032
field trip	-0.032
green line	-0.032
home in	-0.032
hip to	-0.032
set foot	-0.032
not exactly	-0.032
burn in	-0.032
hamster wheel	-0.032
car park	-0.032
home town	-0.032
travel to	-0.032
drink up	-0.032
new blood	-0.032
big mouth	-0.032
gas up	-0.032
work to	-0.032
well used	-0.032
face about	-0.032
maternity leave	-0.032
south bend	-0.032
on paper	-0.032
pit bull	-0.032
long for	-0.032
clock in	-0.032
hawaiian shirt	-0.032
fire escape	-0.032
back yard	-0.032
swear in	-0.032
crowd in	-0.032
chocolate bar	-0.032
seat belt	-0.032
reverse racism	-0.032
coupon code	-0.032
high end	-0.032
picture book	-0.032
binge eating	-0.032
outside world	-0.032
for example	-0.032
air pollution	-0.032
double tap	-0.032
freudian slip	-0.032
dibs on	-0.032
every other	-0.032
hold back	-0.034
like crazy	-0.034
gas tank	-0.034
door bell	-0.034
public housing	-0.034
talk with	-0.034
rocky road	-0.034
make into	-0.034
buy time	-0.034
mouth watering	-0.034
copy to	-0.034
in exchange	-0.034
hit man	-0.034
think out	-0.034
olive oil	-0.034
trash talking	-0.034
medium size	-0.034
light switch	-0.034
go west	-0.034
scroll wheel	-0.034
poker face	-0.034
foray into	-0.034
zoom in	-0.034
freezing rain	-0.034
blue cheese	-0.034
knock on	-0.034
self deprecating	-0.034
car crash	-0.034
thrive on	-0.034
point blank	-0.034
dangerous driving	-0.034
eat on	-0.034
short leash	-0.034
set down	-0.034
third grade	-0.034
lean toward	-0.034
third man	-0.034
quick one	-0.034
paper thin	-0.034
nacho cheese	-0.034
holy trinity	-0.034
be one	-0.034
gear to	-0.034
pass on	-0.034
associated press	-0.034
jet ski	-0.034
grow over	-0.034
on board	-0.034
turn back	-0.034
chocolate milk	-0.034
public transport	-0.034
draw in	-0.034
for instance	-0.034
ad hominem	-0.034
in camera	-0.034
photo album	-0.034
crossword puzzle	-0.034
rush hour	-0.034
file with	-0.034
cowboy boots	-0.034
morning shift	-0.034
prefer to	-0.034
that's right	-0.034
look into	-0.034
national debt	-0.034
square foot	-0.034
home buyer	-0.034
grind on	-0.034
set for	-0.034
middle ground	-0.034
front teeth	-0.034
it's raining	-0.034
report card	-0.034
shook up	-0.034
cope with	-0.034
cash out	-0.034
kitchen table	-0.034
better off	-0.034
do over	-0.034
floor it	-0.034
tear apart	-0.034
human condition	-0.034
clean clothes	-0.034
soak in	-0.034
sexual orientation	-0.034
caesar salad	-0.034
blue ribbon	-0.034
for laughs	-0.034
smoke alarm	-0.034
do wonders	-0.034
banana pudding	-0.034
air time	-0.034
granola bar	-0.034
impose on	-0.034
lunch box	-0.034
price tag	-0.034
old guard	-0.034
jet fuel	-0.034
the finger	-0.034
print shop	-0.034
alcoholic beverage	-0.034
on earth	-0.034
grow up	-0.034
menstrual cycle	-0.034
backwards compatible	-0.034
child's play	-0.034
aside from	-0.034
insist on	-0.034
paper route	-0.034
bright orange	-0.034
red herring	-0.034
fist bump	-0.034
big smoke	-0.034
in vitro	-0.034
bring in	-0.034
sneak peek	-0.034
east side	-0.034
deep down	-0.034
sheet music	-0.034
fair play	-0.034
scrambled eggs	-0.034
mind numbing	-0.034
light show	-0.034
fun part	-0.034
the following	-0.034
fence in	-0.034
say again	-0.034
check by	-0.034
pizza oven	-0.034
winter solstice	-0.034
day care	-0.034
taking place	-0.034
street clothes	-0.034
home invasion	-0.034
sleeping beauty	-0.034
rapid transit	-0.034
sugar water	-0.034
fast break	-0.034
dark night	-0.034
cheddar cheese	-0.034
heaps of	-0.034
inner city	-0.034
have access	-0.034
third base	-0.034
chin up	-0.034
like so	-0.034
bird feeder	-0.034
zip it	-0.034
bald eagle	-0.034
phone booth	-0.034
root for	-0.034
shower head	-0.034
boarding pass	-0.034
septic tank	-0.034
slumber party	-0.034
smoke shop	-0.034
reckless driving	-0.034
dinner party	-0.034
valley girl	-0.034
motion picture	-0.034
hot spot	-0.034
blue jeans	-0.034
ad nauseam	-0.034
leading off	-0.034
snitch on	-0.034
reasonable doubt	-0.034
civic duty	-0.034
stand alone	-0.034
touch screen	-0.034
go ahead	-0.034
get laid	-0.034
safe sex	-0.034
space out	-0.034
much obliged	-0.034
edge in	-0.034
latch onto	-0.034
slam on	-0.034
keep to	-0.034
cool down	-0.034
prodigal son	-0.034
real issue	-0.034
street cred	-0.034
terrorist attack	-0.034
spinal tap	-0.034
subject to	-0.034
speak to	-0.034
tater tots	-0.034
faze me	-0.034
plain english	-0.034
ski mask	-0.034
tie into	-0.034
fruit loops	-0.034
each week	-0.034
at that	-0.034
the usual	-0.034
resting place	-0.034
wrap around	-0.034
gather in	-0.034
gut reaction	-0.034
one day	-0.034
a go	-0.034
desert island	-0.034
bunk bed	-0.034
time consuming	-0.034
guitar player	-0.034
in league	-0.034
break room	-0.034
waffle maker	-0.034
unsung heroes	-0.034
ambient music	-0.034
push through	-0.034
property tax	-0.034
water bill	-0.034
straight hair	-0.034
index finger	-0.034
emergency room	-0.034
roll up	-0.034
that's it	-0.036
tread on	-0.036
car alarm	-0.036
end table	-0.036
in person	-0.036
no stopping	-0.036
put pressure	-0.036
rice cooker	-0.036
in fashion	-0.036
high tide	-0.036
battery pack	-0.036
talk of	-0.036
piggy bank	-0.036
fair chance	-0.036
jump ship	-0.036
voice over	-0.036
drink to	-0.036
elect to	-0.036
singing voice	-0.036
first up	-0.036
silent treatment	-0.036
opposed to	-0.036
copy editor	-0.036
speech impediment	-0.036
salad dressing	-0.036
young man	-0.036
sea level	-0.036
pass up	-0.036
pose as	-0.036
attribute to	-0.036
a touch	-0.036
spray bottle	-0.036
organ donor	-0.036
stat sheet	-0.036
pop quiz	-0.036
catch it	-0.036
sit back	-0.036
care to	-0.036
cast away	-0.036
tag along	-0.036
drug war	-0.036
pad thai	-0.036
on file	-0.036
gold digger	-0.036
bbq sauce	-0.036
swim suit	-0.036
holy land	-0.036
stand tall	-0.036
share in	-0.036
clean sweep	-0.036
up for	-0.036
buckle down	-0.036
slam dunk	-0.036
heat index	-0.036
carbon tax	-0.036
center on	-0.036
shout out	-0.036
home address	-0.036
flush with	-0.036
cotton candy	-0.036
mail order	-0.036
smack dab	-0.036
boob job	-0.036
leg up	-0.036
true to	-0.036
dial in	-0.036
everybody out	-0.036
bear down	-0.036
chopping block	-0.036
quarter of	-0.036
girl group	-0.036
feature in	-0.036
photo op	-0.036
shop around	-0.036
get you	-0.036
color scheme	-0.036
like hell	-0.036
pizza shop	-0.038
shower with	-0.038
lunch break	-0.038
a priori	-0.038
eat up	-0.038
wrap up	-0.038
rare earth	-0.038
green belt	-0.038
plug in	-0.038
speak with	-0.038
in circles	-0.038
cling to	-0.038
nintendo ds	-0.038
hot weather	-0.038
revolving door	-0.038
squeaky clean	-0.038
partial to	-0.038
other woman	-0.038
silent majority	-0.038
wooden spoon	-0.038
rush into	-0.038
if ever	-0.038
fiat money	-0.038
plastic bag	-0.038
perp walk	-0.038
put over	-0.038
hard candy	-0.038
clean air	-0.038
attention span	-0.038
be along	-0.038
vacuum cleaner	-0.038
corned beef	-0.038
small town	-0.038
pick apart	-0.038
all about	-0.038
tank top	-0.038
see in	-0.038
long haul	-0.038
bring back	-0.038
tortilla soup	-0.038
sort out	-0.038
like fun	-0.038
hold hands	-0.038
punch line	-0.038
public comment	-0.038
ring around	-0.038
carry around	-0.038
family size	-0.040
agent orange	-0.040
act for	-0.040
south side	-0.040
dip into	-0.040
in trust	-0.040
of color	-0.040
coffee cup	-0.040
how to	-0.040
postal service	-0.040
want back	-0.040
powder blue	-0.040
side show	-0.042
limit to	-0.042
get changed	-0.042
black sheep	-0.042
bring to	-0.042
traffic jam	-0.042
hinge on	-0.042
put out	-0.044
soul mate	-0.044
late show	-0.044
crack up	-0.044
subscribe to	-0.044
bet on	-0.046
street light	-0.046
wishy washy	-0.046
paper towels	-0.046
go towards	-0.046
cross over	-0.048
home stretch	-0.048
pay phone	-0.048
name brand	-0.048
do work	-0.048
force field	-0.048
hyped up	-0.048
tomato soup	-0.048
screen protector	-0.050
be well	-0.050
flip for	-0.050
hot springs	-0.050
hands down	-0.050
assault rifle	-0.050
pine tar	-0.052
long since	-0.052
new era	-0.052
pony tail	-0.052
garden hose	-0.054
group therapy	-0.054
crew member	-0.054
budget for	-0.054
goat cheese	-0.054
googly eyes	-0.054
chock full	-0.056
some time	-0.056
safe distance	-0.056
some anticipation	-0.056
spice up	-0.056
face off	-0.058
diaper bag	-0.058
tons of	-0.058
pickle juice	-0.058
stem cell	-0.058
a while	-0.060
bone structure	-0.060
be called	-0.060
across from	-0.060
not yet	-0.060
tying up	-0.060
red hair	-0.060
take root	-0.060
about time	-0.062
press charges	-0.062
take after	-0.062
summer solstice	-0.062
head scratcher	-0.062
red alert	-0.062
now then	-0.062
years old	-0.062
to rule	-0.062
dependent upon	-0.062
melt into	-0.062
bubble bath	-0.062
read on	-0.062
hot on	-0.062
get away	-0.062
half moon	-0.062
drink in	-0.062
cut one	-0.062
cocoa butter	-0.062
run down	-0.062
stay at	-0.062
taco truck	-0.062
step stool	-0.062
fruit punch	-0.064
last name	-0.064
big cat	-0.064
stand it	-0.064
criminal court	-0.064
radio play	-0.064
car rental	-0.064
flow from	-0.064
in all	-0.064
ground ball	-0.064
sex life	-0.064
east coast	-0.064
hippocratic oath	-0.064
extra time	-0.064
highway robbery	-0.064
check up	-0.064
pour in	-0.064
three times	-0.064
stand out	-0.064
roast beef	-0.064
shuttle bus	-0.064
dental surgery	-0.064
safe bet	-0.064
think over	-0.064
school board	-0.064
mental hospital	-0.064
the means	-0.064
turn into	-0.064
run after	-0.064
garage door	-0.064
golf cart	-0.064
fought with	-0.064
oak tree	-0.064
speak out	-0.064
cool breeze	-0.064
space bar	-0.064
food drive	-0.064
check out	-0.064
criminal offense	-0.064
prior to	-0.064
come between	-0.064
fried shrimp	-0.064
apropos of	-0.064
body shop	-0.064
surgical mask	-0.064
plot line	-0.064
go to	-0.064
fleshed out	-0.064
hang tough	-0.064
burst in	-0.064
public land	-0.064
soda water	-0.064
black pepper	-0.064
double back	-0.064
night court	-0.064
green eyes	-0.064
tight end	-0.064
high heat	-0.064
honky tonk	-0.064
eaten up	-0.064
clean slate	-0.064
here's to	-0.064
beat in	-0.064
board game	-0.065
in private	-0.066
straw man	-0.066
you're on	-0.066
tough crowd	-0.066
pina colada	-0.066
from afar	-0.066
debt relief	-0.066
precious little	-0.066
in retrospect	-0.066
some people	-0.066
to that	-0.066
rosetta stone	-0.066
a mere	-0.066
after party	-0.066
keep pace	-0.066
stir fry	-0.066
processing time	-0.066
head cold	-0.066
by itself	-0.066
block out	-0.066
get behind	-0.066
traffic calming	-0.066
shelf life	-0.066
glass ceiling	-0.066
apple sauce	-0.066
be full	-0.066
hand soap	-0.066
swear to	-0.066
ride out	-0.066
write in	-0.066
come before	-0.066
pass in	-0.066
cool cat	-0.066
ping pong	-0.066
white elephant	-0.066
plug for	-0.066
wear in	-0.066
ask about	-0.066
half life	-0.066
war room	-0.066
go there	-0.066
want for	-0.066
occur to	-0.066
see ya	-0.066
jam on	-0.066
pissed off	-0.066
roll call	-0.066
county fair	-0.066
news flash	-0.066
community garden	-0.066
bite off	-0.066
nice little	-0.066
killer instinct	-0.066
hats off	-0.066
repeat on	-0.066
spring rolls	-0.066
rare occasions	-0.066
set piece	-0.066
chow mein	-0.066
bring down	-0.066
talk at	-0.066
listen in	-0.066
lime juice	-0.066
let's see	-0.066
at bat	-0.066
foul play	-0.066
base in	-0.066
drive by	-0.066
pasta salad	-0.066
take up	-0.066
red panda	-0.066
cold front	-0.066
cross stitch	-0.066
cleaning lady	-0.066
ash wednesday	-0.066
pretty much	-0.066
salt water	-0.066
money back	-0.066
past tense	-0.066
love bug	-0.066
land on	-0.066
wander around	-0.066
get to	-0.066
except for	-0.066
insofar as	-0.066
karaoke bar	-0.066
whipped cream	-0.066
red state	-0.066
grand theft	-0.066
every night	-0.066
thought of	-0.066
dog it	-0.066
frozen food	-0.066
mouth water	-0.066
me too	-0.066
emergency brake	-0.066
plug into	-0.066
in form	-0.066
cue up	-0.066
jingle bell	-0.066
hotel room	-0.066
dining hall	-0.066
laughing stock	-0.066
bright green	-0.066
snuggle up	-0.066
old english	-0.066
street name	-0.066
outlet mall	-0.066
go easy	-0.066
strike out	-0.066
tuck in	-0.066
stand at	-0.068
hair dryer	-0.068
boiling hot	-0.068
hard stop	-0.068
shot down	-0.068
scare tactics	-0.068
camped out	-0.068
adjacent to	-0.068
jump ball	-0.068
lotto ticket	-0.068
yellow card	-0.068
fax machine	-0.068
pelvic floor	-0.068
glass in	-0.068
fair share	-0.068
carried away	-0.068
cold storage	-0.068
head off	-0.068
mark up	-0.068
supposed to	-0.068
close range	-0.068
believe me	-0.068
water tank	-0.068
potty trained	-0.068
pro bono	-0.068
breast milk	-0.068
act up	-0.068
in truth	-0.068
air drop	-0.068
period piece	-0.068
dig up	-0.068
cold cuts	-0.068
tongue piercing	-0.068
hot stove	-0.068
double dipping	-0.068
watch list	-0.068
flip through	-0.068
essay writing	-0.068
have room	-0.068
extend to	-0.068
split second	-0.068
banana republic	-0.068
move up	-0.068
done for	-0.068
hack it	-0.068
rib cage	-0.068
heavy cream	-0.068
mind reader	-0.068
stem from	-0.068
serial killer	-0.068
cutting edge	-0.068
umbilical cord	-0.068
gray area	-0.068
wind up	-0.068
walk in	-0.068
save on	-0.068
heating pad	-0.068
acquired taste	-0.068
give in	-0.068
support level	-0.068
egg salad	-0.068
library card	-0.068
legal name	-0.068
freeze on	-0.068
brick in	-0.068
light out	-0.068
tell me	-0.068
yoga mat	-0.068
confide in	-0.068
cold water	-0.068
pipe dream	-0.068
scooby doo	-0.068
in sum	-0.068
dirt bike	-0.068
left turn	-0.068
come across	-0.068
internal clock	-0.068
churn out	-0.068
feed on	-0.068
down payment	-0.068
a bunch	-0.068
long on	-0.068
binge watching	-0.068
throw on	-0.068
tortilla chips	-0.068
rural area	-0.068
these guys	-0.068
hotel lobby	-0.068
in hindsight	-0.068
poke at	-0.068
hospital room	-0.068
stick figure	-0.068
fall short	-0.068
tone in	-0.068
come by	-0.068
strike on	-0.068
string cheese	-0.068
fix on	-0.068
in itself	-0.068
base on	-0.068
hard times	-0.070
road construction	-0.070
in fine	-0.070
sleep on	-0.072
step on	-0.072
time span	-0.072
lip sync	-0.072
love triangle	-0.072
cold blood	-0.072
beat it	-0.072
back up	-0.072
like mad	-0.072
nothing much	-0.072
happen to	-0.072
nail set	-0.072
light weight	-0.072
angry mob	-0.072
potato soup	-0.072
water cooler	-0.072
early retirement	-0.072
revolve around	-0.072
jigsaw puzzle	-0.072
baby shower	-0.072
jury duty	-0.072
screw this	-0.072
what's more	-0.072
ghost writer	-0.072
heal all	-0.072
hair care	-0.072
hot air	-0.072
catch on	-0.072
using up	-0.072
cardiac arrest	-0.072
gay marriage	-0.072
belly button	-0.072
game room	-0.072
hedge fund	-0.072
war machine	-0.072
pour into	-0.072
tune up	-0.072
reflected in	-0.072
sound check	-0.072
under water	-0.072
attention whore	-0.072
garlic sauce	-0.072
general public	-0.072
sexual attraction	-0.072
screw with	-0.072
get wet	-0.072
blood bath	-0.072
make for	-0.072
tap water	-0.072
social work	-0.072
soccer mom	-0.072
buy it	-0.072
bath tub	-0.072
sea salt	-0.072
rejoice in	-0.072
sign in	-0.072
in spades	-0.072
beef patty	-0.072
have dinner	-0.072
probable cause	-0.072
left behind	-0.072
some other	-0.072
drop into	-0.072
write down	-0.072
fruit salad	-0.072
come for	-0.072
train set	-0.072
side door	-0.072
cat food	-0.072
fly in	-0.072
thin line	-0.072
grocery bag	-0.072
roller skates	-0.072
cream cheese	-0.072
in favor	-0.072
race card	-0.072
gateway drug	-0.072
freeze over	-0.072
sea shanty	-0.074
bend down	-0.074
orange bowl	-0.074
focal point	-0.074
glazed donut	-0.074
double dutch	-0.074
balanced diet	-0.074
midnight snack	-0.074
deep water	-0.074
pie chart	-0.074
apple cider	-0.074
scream out	-0.074
for anything	-0.074
stick up	-0.074
booty shorts	-0.074
potato chips	-0.074
dear sir	-0.074
nail down	-0.074
blue chips	-0.074
and yet	-0.074
read over	-0.074
last quarter	-0.074
hot fudge	-0.074
listen to	-0.074
in name	-0.074
hail mary	-0.074
insane asylum	-0.074
with us	-0.074
but for	-0.074
pep talk	-0.074
make over	-0.074
tartar sauce	-0.074
and change	-0.074
two thirds	-0.074
sick pay	-0.074
mini van	-0.074
oil price	-0.074
this stage	-0.074
pack up	-0.074
in stitches	-0.074
multiple sclerosis	-0.075
fecal matter	-0.076
folk music	-0.076
stumble across	-0.076
for sure	-0.076
close in	-0.076
fast one	-0.076
pinot noir	-0.076
hold it	-0.076
tear gas	-0.076
close by	-0.076
bell curve	-0.076
as for	-0.076
send over	-0.076
domestic violence	-0.076
sloppy joe	-0.076
cool thing	-0.076
go past	-0.076
special ed	-0.076
by chance	-0.076
or somewhere	-0.076
hot sauce	-0.077
wiggle room	-0.078
lust for	-0.078
willy nilly	-0.078
key in	-0.078
identity crisis	-0.080
print out	-0.080
nursing home	-0.080
swear word	-0.080
visit on	-0.080
too soon	-0.080
labor day	-0.080
over with	-0.080
pretty girl	-0.080
nail salon	-0.080
super glue	-0.082
time out	-0.082
shell game	-0.084
bill as	-0.084
learning curve	-0.084
death sentence	-0.084
baked potato	-0.084
drunk driver	-0.084
the odd	-0.086
tragic death	-0.086
read for	-0.086
weather forecast	-0.086
tough question	-0.086
candy store	-0.086
glory hole	-0.086
act out	-0.088
anything goes	-0.088
tax law	-0.088
extreme disgust	-0.088
be off	-0.088
natural gas	-0.088
go around	-0.090
time frame	-0.090
dead on	-0.090
term paper	-0.092
set out	-0.094
top dog	-0.094
personal space	-0.094
even now	-0.094
toss up	-0.094
each way	-0.094
far east	-0.094
hand down	-0.094
gene pool	-0.094
mental breakdown	-0.094
run against	-0.094
birth control	-0.094
clam chowder	-0.094
fish oil	-0.094
losing streak	-0.094
drag on	-0.094
compare with	-0.094
racial discrimination	-0.094
turn away	-0.094
fork over	-0.094
clue in	-0.094
wild card	-0.094
put off	-0.094
quest for	-0.094
blind side	-0.094
free hand	-0.094
second half	-0.094
pale ale	-0.094
mini skirt	-0.094
press room	-0.094
under oath	-0.094
thirst for	-0.094
rainy season	-0.094
cup holder	-0.094
beer bottle	-0.096
pour out	-0.096
home video	-0.096
had it	-0.096
listen for	-0.096
sleeping giant	-0.096
so what	-0.096
suppose to	-0.096
only child	-0.096
go figure	-0.096
short period	-0.096
behind bars	-0.096
jeepers creepers	-0.096
duck in	-0.096
see fit	-0.096
laugh at	-0.096
bounce back	-0.096
have got	-0.096
put behind	-0.096
have lunch	-0.096
at length	-0.096
for long	-0.096
time flies	-0.096
retail price	-0.096
free zone	-0.096
square up	-0.096
dry powder	-0.096
shot clock	-0.096
swallow that	-0.096
run across	-0.096
each one	-0.096
leave home	-0.096
argue over	-0.096
come around	-0.096
sea moss	-0.096
pearly gates	-0.096
pound cake	-0.096
the bomb	-0.096
brown sugar	-0.096
that's that	-0.096
may day	-0.096
hair gel	-0.096
show off	-0.096
apply for	-0.096
balsamic vinegar	-0.096
repeat offender	-0.096
mental health	-0.096
bow tie	-0.096
book club	-0.096
a battery	-0.096
go far	-0.096
under attack	-0.096
ritz crackers	-0.096
file in	-0.096
due respect	-0.096
